timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,955040,369115337,5,967512,368916660,5,960672,388284248,5,967444,369545907
60,5,1452636,685828906,5,1444372,708888609,5,1381872,660946449,5,1383844,623050520
120,5,1549216,1247295960,5,1469240,1075715164,5,1428384,1064957684,5,1474692,1020600555
180,5,1573124,1222123935,5,1527072,1082968702,5,1501736,1073297354,5,1496848,1047265929
240,5,1541444,1225001542,5,1522716,1091921002,5,1463060,1078827541,5,1489720,975145156
300,5,1503560,1196084963,5,1541124,1135570422,5,1490912,1078582174,5,1516120,1005324360
360,5,1567976,1281399998,5,1520796,1130430679,5,1507148,1042737882,5,1515988,936927669
420,5,1564280,1264432832,5,1524492,1117936173,5,1550496,1097091439,5,1477252,919816468
480,5,1572860,1211956303,5,1542708,1089951346,5,1500600,1072283880,5,1514344,990399889
540,5,1540652,1249091739,5,1592340,1169842110,5,1473672,1051277015,5,1487812,959432850
600,5,1594904,1269055993,5,1553532,1128197017,5,1502316,1039448408,5,1501540,990616182
660,5,1562564,1216635026,5,1574388,1125365926,5,1487796,1084750110,5,1520152,1002268673
720,5,1567184,1244405283,5,1531620,1023737516,5,1518816,1087908170,5,1491664,1045596734
780,5,1563488,1212713756,5,1512744,1094465289,5,1500996,1051435679,5,1508560,1042074571
840,5,1594640,1247170410,5,1584288,1191247355,5,1483176,1019074143,5,1504732,987213944
900,5,1571276,1232508317,5,1533732,1132489698,5,1484232,1041808280,5,1528624,1011264156
960,5,1590944,1211889321,5,1579404,1159473742,5,1542180,1074040375,5,1537204,1004216366
1020,5,1591472,1263245033,5,1535580,1120344472,5,1527660,1051377548,5,1460776,895293419
1080,5,1598336,1382071227,5,1531092,1132749792,5,1501392,991404623,5,1513840,1002768842
1140,5,1580648,1248178726,5,1558944,1156215820,5,1493604,1035506915,5,1520968,1017467383
1200,5,1603616,1314148123,5,1504824,1074763708,5,1504560,1069210278,5,1540504,980269269
1260,5,1553192,1229448958,5,1553004,1102689816,5,1546536,1086268617,5,1525060,1094418564
1320,5,1533128,1160701291,5,1519872,1116758680,5,1524228,1089843800,5,1541416,1019169266
1380,5,1553720,1222790415,5,1544556,1115884587,5,1506276,1058364966,5,1531648,997839168
1440,5,1573388,1256592052,5,1561320,1086111635,5,1538748,1028101238,5,1528216,1044811997
1500,5,1596092,1293879663,5,1501392,1052660092,5,1493208,1048534401,5,1506304,1026342524
1560,5,1563356,1234060127,5,1570032,1149177894,5,1502844,1064063098,5,1548676,985949678
1620,5,1530884,1167007816,5,1532148,1093498793,5,1548484,1109791182,5,1522936,1077006908
1680,5,1546460,1223780296,5,1573992,1133272794,5,1526308,1055354881,5,1535872,1046842243
1740,5,1579196,1218572069,5,1546404,1139566823,5,1540564,1075634888,5,1506304,1013699571
1800,5,1557284,1181375568,5,1586136,1160290485,5,1508092,1053687741,5,1532572,1032549635
