timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,941408,3,960440,3,969512,3,944184,3
60,986948,3,986444,3,983768,3,988536,3
120,1592300,2,1318856,3,1240640,3,1160928,4
180,1309820,2,1341428,3,1328624,3,1329888,4
240,1334108,2,1321628,3,1318064,3,1339260,4
300,1291860,2,1368908,3,1358192,3,1394568,4
360,1303608,3,1309904,2,1393964,3,1348816,4
420,1421748,2,1293932,3,1342220,3,1355152,4
480,1323012,2,1312808,3,1362812,3,1376692,4
540,1316156,2,1329440,3,1394228,3,1318480,4
600,1333052,2,1321784,4,1325984,3,1374808,3
660,1340972,2,1378016,3,1400300,3,1294024,4
720,1331336,2,1331024,3,1323080,3,1360288,4
780,1308368,2,1325744,3,1379916,3,1393816,4
840,1328960,2,1352672,3,1394304,3,1372960,4
900,1322228,2,1328120,4,1374108,3,1379684,3
960,1331580,2,1368512,3,1367772,4,1321736,3
1020,1347684,2,1360856,4,1360116,3,1329920,3
1080,1342800,2,1318088,3,1379256,3,1308404,4
1140,1372104,2,1351492,3,1328568,3,1367408,4
